concept,field,family,role,source,note
Region_G4 motif,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_G5,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_G5 motif,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_Large ATPase domain (RuvB-L),Region,ATPase/GTPase/signaling,catalytic,hand,
Region_Small ATPAse domain (RuvB-S),Region,ATPase/GTPase/signaling,catalytic,hand,
Region_Switch-I,Region,ATPase/GTPase/signaling,catalytic,hand,
Region_Switch-II,Region,ATPase/GTPase/signaling,catalytic,hand,
Domain_OCT,Domain,ATPase/GTPase/signaling,structural,hand,"PRU01229: the Obg C-terminal domain, a novel fold with a role in regulating the nucleotide-binding state"
Motif_'Ionic lock' involved in activated form stabilization,Motif,ATPase/GTPase/signaling,structural,hand,P08100: the class-A GPCR E(D)RY motif; stabilises a conformation
Compositional bias_Acidic residues,Compositional bias,Disordered/low-complexity,disorder,inherited,
Compositional bias_Basic and acidic residues,Compositional bias,Disordered/low-complexity,disorder,rule,
Compositional bias_Basic residues,Compositional bias,Disordered/low-complexity,disorder,rule,
Compositional bias_Gly residues,Compositional bias,Disordered/low-complexity,disorder,rule,
Compositional bias_Low complexity,Compositional bias,Disordered/low-complexity,disorder,rule,
Compositional bias_Polar residues,Compositional bias,Disordered/low-complexity,disorder,rule,
Compositional bias_Pro residues,Compositional bias,Disordered/low-complexity,disorder,rule,
Motif_9aaTAD,Motif,Disordered/low-complexity,disorder,hand,
Region_Connecting peptide,Region,Disordered/low-complexity,disorder,hand,
Region_Disordered,Region,Disordered/low-complexity,disorder,inherited,
Region_Flexible linker,Region,Disordered/low-complexity,disorder,hand,
Region_Flexible loop,Region,Disordered/low-complexity,disorder,hand,
Region_Linker,Region,Disordered/low-complexity,disorder,hand,
Region_Linker 1,Region,Disordered/low-complexity,disorder,hand,
Region_Linker 12,Region,Disordered/low-complexity,disorder,hand,
Domain_ACT,Domain,Interaction module,binding,hand,
Domain_B30.2/SPRY,Domain,Interaction module,binding,inherited,
Domain_BPTI/Kunitz inhibitor,Domain,Interaction module,binding,hand,
Domain_BTB,Domain,Interaction module,binding,hand,
Domain_C-type lectin,Domain,Interaction module,binding,inherited,
Domain_CBS 1,Domain,Interaction module,binding,hand,PRU00703: an adenosyl-ligand regulatory module; it hydrolyses nothing and binds no nucleic acid
Domain_CBS 2,Domain,Interaction module,binding,hand,PRU00703: the second repeat of a Bateman pair
Domain_Disintegrin,Domain,Interaction module,binding,hand,
Domain_EGF-like,Domain,Interaction module,binding,hand,
Domain_EGF-like 1,Domain,Interaction module,binding,hand,
Domain_EGF-like 2,Domain,Interaction module,binding,hand,
Domain_F-box,Domain,Interaction module,binding,inherited,
Domain_Gla,Domain,Interaction module,binding,hand,"PRU00463: calcium-dependent membrane binding; the gamma-carboxylation is annotated separately as a MOD_RES, not as this domain"
Domain_Globin,Domain,Interaction module,binding,inherited,
Domain_Ig-like,Domain,Interaction module,binding,hand,
Domain_Ig-like C1-type,Domain,Interaction module,binding,hand,
Domain_Ig-like C2-type,Domain,Interaction module,binding,hand,
Domain_Ig-like C2-type 1,Domain,Interaction module,binding,hand,
Domain_Ig-like C2-type 2,Domain,Interaction module,binding,hand,
Domain_Ig-like V-type,Domain,Interaction module,binding,hand,
Domain_Inhibitor I9,Domain,Interaction module,binding,hand,
Domain_J,Domain,Interaction module,binding,inherited,
Domain_K-box,Domain,Interaction module,binding,hand,
Domain_KRAB,Domain,Interaction module,binding,hand,
Domain_Kazal-like,Domain,Interaction module,binding,hand,
Domain_LIM zinc-binding 1,Domain,Interaction module,binding,hand,"PRU00125: does not bind DNA, the zinc is structural and the domain is a protein-protein interface"
Domain_LIM zinc-binding 2,Domain,Interaction module,binding,hand,PRU00125: a later repeat of the same domain
Domain_LisH,Domain,Interaction module,binding,hand,
Domain_PCI,Domain,Interaction module,binding,hand,
Domain_PDZ,Domain,Interaction module,binding,inherited,
Domain_PH,Domain,Interaction module,binding,hand,
Domain_PX,Domain,Interaction module,binding,hand,
Domain_SCP,Domain,Interaction module,binding,hand,IPR014044: protease-like elements but no demonstrated activity; a binding scaffold for protein and sterol
Domain_SH2,Domain,Interaction module,binding,hand,
Domain_SH3,Domain,Interaction module,binding,inherited,
Domain_SMP-LTD,Domain,Interaction module,binding,hand,
Domain_THD,Domain,Interaction module,binding,hand,
Domain_UBA,Domain,Interaction module,binding,hand,
Domain_Ubiquitin-like,Domain,Interaction module,binding,hand,PRU00214: 60/40 embedded module against free modifier over 500 sampled entries; the embedded use wins
Domain_sHSP,Domain,Interaction module,binding,hand,PRU00285: binds non-native client protein; oligomerisation is secondary
Motif_Antp-type hexapeptide,Motif,Interaction module,binding,hand,
Motif_Cell attachment site,Motif,Interaction module,binding,hand,
Motif_PDZ-binding,Motif,Interaction module,binding,hand,
Region_ACP-binding,Region,Interaction module,binding,hand,
Region_Alpha N-terminal domain (alpha-NTD),Region,Interaction module,binding,hand,
Region_Complementarity-determining-1,Region,Interaction module,binding,hand,
Region_Complementarity-determining-2,Region,Interaction module,binding,hand,
Region_Complementarity-determining-3,Region,Interaction module,binding,hand,
"Region_Domain I, interacts with DnaA modulators",Region,Interaction module,binding,hand,
Region_I-domain,Region,Interaction module,binding,inherited,
Region_Important for dimerization,Region,Interaction module,binding,hand,
Region_Interaction with PCNA,Region,Interaction module,binding,hand,
Region_Leucine-zipper,Region,Interaction module,binding,hand,
Region_N-terminal SAM-like domain,Region,Interaction module,binding,hand,
Region_LID,Region,Kinase/phosphatase,binding,hand,
Region_NMP,Region,Kinase/phosphatase,binding,hand,
Domain_DPCK,Domain,Kinase/phosphatase,catalytic,hand,
Domain_Histidine kinase,Domain,Kinase/phosphatase,catalytic,hand,
Domain_PPM-type phosphatase,Domain,Kinase/phosphatase,catalytic,hand,
Domain_Protein kinase,Domain,Kinase/phosphatase,catalytic,inherited,
Domain_Tyrosine-protein phosphatase,Domain,Kinase/phosphatase,catalytic,inherited,
Motif_TXY,Motif,Kinase/phosphatase,catalytic,hand,
Region_Important for the catalytic mechanism of both phosphorylation and dephosphorylation,Region,Kinase/phosphatase,catalytic,hand,
Region_Important for the catalytic mechanism of dephosphorylation,Region,Kinase/phosphatase,catalytic,hand,
Region_Ribokinase,Region,Kinase/phosphatase,catalytic,inherited,
Domain_2Fe-2S ferredoxin-type,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_4Fe-4S ferredoxin-type 1,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_4Fe-4S ferredoxin-type 2,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_ClpX-type ZB,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_DRBM,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_EF-hand 1,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_EF-hand 2,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_EF-hand 3,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_EF-hand 4,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_H15,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_HTH myb-type 1,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_HTH myb-type 2,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_KH,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_KH type-2,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_MADS-box,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_NR LBD,Domain,Nucleic-acid/metal binding,binding,inherited,
Domain_PUA,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_RRM,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_RRM 1,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_RRM 2,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_RRM 3,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_S4 RNA-binding,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_S5 DRBM,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_Sm,Domain,Nucleic-acid/metal binding,binding,inherited,
Domain_THUMP,Domain,Nucleic-acid/metal binding,binding,inherited,
Domain_TRAM,Domain,Nucleic-acid/metal binding,binding,hand,
Domain_bHLH,Domain,Nucleic-acid/metal binding,binding,inherited,
Domain_bZIP,Domain,Nucleic-acid/metal binding,binding,hand,
Region_Alpha C-terminal domain (alpha-CTD),Region,Nucleic-acid/metal binding,binding,hand,
Region_Basic motif,Region,Nucleic-acid/metal binding,binding,hand,
Region_DNA-binding,Region,Nucleic-acid/metal binding,binding,hand,
Region_Domain II,Region,Nucleic-acid/metal binding,binding,hand,ambiguous: RuvA DNA-binding bundle against DnaA disordered linker; filed on RuvA's plurality
"Region_Domain IV, binds dsDNA",Region,Nucleic-acid/metal binding,binding,hand,
Region_Fe-S binding site A,Region,Nucleic-acid/metal binding,binding,hand,
Region_Fe-S binding site B,Region,Nucleic-acid/metal binding,binding,hand,
Region_Interaction with DNA,Region,Nucleic-acid/metal binding,binding,hand,
Region_Interaction with RNA,Region,Nucleic-acid/metal binding,binding,hand,
Region_Interaction with substrate tRNA,Region,Nucleic-acid/metal binding,binding,hand,
Region_Interaction with tRNA,Region,Nucleic-acid/metal binding,binding,hand,
Region_Interaction with target base in tRNA,Region,Nucleic-acid/metal binding,binding,hand,
Region_RNA binding,Region,Nucleic-acid/metal binding,binding,hand,
Zinc finger_B box-type,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type 1,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type 2,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type 3,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type 4,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type 5,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type 6,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type 7,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type 8,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C2H2-type 9,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C3H1-type 1,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C3H1-type 2,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_C4-type,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_CR-type,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_FPG-type,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_NR C4-type,Zinc finger,Nucleic-acid/metal binding,binding,inherited,
Zinc finger_PHD-type,Zinc finger,Nucleic-acid/metal binding,binding,rule,
Zinc finger_RING-type,Zinc finger,Nucleic-acid/metal binding,binding,inherited,
Zinc finger_any,Zinc finger,Nucleic-acid/metal binding,binding,inherited,
Motif_Meso-diaminopimelate recognition motif,Motif,Other enzyme,binding,hand,
Active site_Acyl-ester intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Acyl-thioester intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Charge relay,Active site,Other enzyme,catalytic,rule,
Active site_Charge relay system,Active site,Other enzyme,catalytic,rule,
Active site_Cysteine persulfide intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Cysteine sulfenic acid (-SOH) intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Electrophile,Active site,Other enzyme,catalytic,rule,
Active site_For autocatalytic cleavage activity,Active site,Other enzyme,catalytic,rule,
Active site_For beta-ketoacyl synthase activity,Active site,Other enzyme,catalytic,rule,
Active site_For ring-opening step,Active site,Other enzyme,catalytic,rule,
Active site_Glycyl thioester intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Lowers pKa of active site Tyr,Active site,Other enzyme,catalytic,rule,
Active site_Nucleophile,Active site,Other enzyme,catalytic,rule,
Active site_Phosphocysteine intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Phosphoserine intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Pros-phosphohistidine intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Proton acceptor,Active site,Other enzyme,catalytic,rule,
Active site_Proton donor,Active site,Other enzyme,catalytic,rule,
Active site_Proton donor/acceptor,Active site,Other enzyme,catalytic,rule,
Active site_S-methylcysteine intermediate,Active site,Other enzyme,catalytic,rule,
Active site_S-palmitoyl cysteine intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Schiff-base intermediate with D-ribose 5-phosphate,Active site,Other enzyme,catalytic,rule,
Active site_Schiff-base intermediate with DNA,Active site,Other enzyme,catalytic,rule,
Active site_Schiff-base intermediate with DXP,Active site,Other enzyme,catalytic,rule,
Active site_Schiff-base intermediate with acetaldehyde,Active site,Other enzyme,catalytic,rule,
Active site_Schiff-base intermediate with substrate,Active site,Other enzyme,catalytic,rule,
Active site_Tele-phosphohistidine intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Thioimidate intermediate,Active site,Other enzyme,catalytic,rule,
Active site_Thioimide intermediate,Active site,Other enzyme,catalytic,rule,
Active site_any,Active site,Other enzyme,catalytic,rule,
Domain_AB hydrolase-1,Domain,Other enzyme,catalytic,inherited,
Domain_ATP-grasp,Domain,Other enzyme,catalytic,hand,
Domain_C-type lysozyme,Domain,Other enzyme,catalytic,hand,
Domain_CMP/dCMP-type deaminase,Domain,Other enzyme,catalytic,hand,
Domain_CN hydrolase,Domain,Other enzyme,catalytic,hand,
Domain_CheB-type methylesterase,Domain,Other enzyme,catalytic,hand,
Domain_DAHPS class-I TIM-barrel,Domain,Other enzyme,catalytic,hand,
Domain_Deacetylase sirtuin-type,Domain,Other enzyme,catalytic,hand,
Domain_Exonuclease,Domain,Other enzyme,catalytic,hand,
Domain_GH16,Domain,Other enzyme,catalytic,hand,
Domain_GH18,Domain,Other enzyme,catalytic,hand,
Domain_GS beta-grasp,Domain,Other enzyme,catalytic,hand,
Domain_GS catalytic,Domain,Other enzyme,catalytic,hand,
Domain_Glutamine amidotransferase type-1,Domain,Other enzyme,catalytic,inherited,
Domain_HD,Domain,Other enzyme,catalytic,inherited,
Domain_MGS-like,Domain,Other enzyme,catalytic,hand,
Domain_Nudix hydrolase,Domain,Other enzyme,catalytic,inherited,
Domain_PPIase FKBP-type,Domain,Other enzyme,catalytic,hand,
Domain_PPIase cyclophilin-type,Domain,Other enzyme,catalytic,inherited,
Domain_RNase H type-1,Domain,Other enzyme,catalytic,hand,
Domain_RNase H type-2,Domain,Other enzyme,catalytic,hand,
Domain_RNase III,Domain,Other enzyme,catalytic,hand,
Domain_Rhodanese,Domain,Other enzyme,catalytic,inherited,
Domain_SIS,Domain,Other enzyme,catalytic,hand,IPR001347: 489 of 500 sampled Swiss-Prot SIS entries carry an EC number; the RpiR/HexR sensing use is about 2%
Domain_TRUD,Domain,Other enzyme,catalytic,hand,
Domain_UmuC,Domain,Other enzyme,catalytic,hand,
Motif_'HIGH' region,Motif,Other enzyme,catalytic,hand,
Motif_'KMSKS' region,Motif,Other enzyme,catalytic,hand,
"Motif_Gly-cisPro motif, important for rejection of L-amino acids",Motif,Other enzyme,catalytic,hand,
Motif_Nudix box,Motif,Other enzyme,catalytic,hand,
Motif_PP-loop motif,Motif,Other enzyme,catalytic,hand,
Region_CPSase,Region,Other enzyme,catalytic,inherited,
Region_Catalytic,Region,Other enzyme,catalytic,hand,
Disulfide bond,Disulfide bond,PTM/targeting,PTM,inherited,
Glycosylation_N-linked (GlcNAc...) (complex) asparagine,Glycosylation,PTM/targeting,PTM,rule,
Glycosylation_N-linked (GlcNAc...) asparagine,Glycosylation,PTM/targeting,PTM,inherited,
Glycosylation_O-linked (Ara...) hydroxyproline,Glycosylation,PTM/targeting,PTM,rule,
Glycosylation_O-linked (GalNAc...) serine,Glycosylation,PTM/targeting,PTM,rule,
Glycosylation_O-linked (GalNAc...) threonine,Glycosylation,PTM/targeting,PTM,rule,
Glycosylation_O-linked (GlcNAc) serine,Glycosylation,PTM/targeting,PTM,rule,
Glycosylation_O-linked (GlcNAc) threonine,Glycosylation,PTM/targeting,PTM,rule,
Glycosylation_O-linked (Xyl...) (chondroitin sulfate) serine,Glycosylation,PTM/targeting,PTM,rule,
Glycosylation_O-linked (Xyl...) (glycosaminoglycan) serine,Glycosylation,PTM/targeting,PTM,rule,
Glycosylation_any,Glycosylation,PTM/targeting,PTM,rule,
Lipidation,Lipidation,PTM/targeting,PTM,rule,
Modified residue_2-(S-cysteinyl)pyruvic acid O-phosphothioketal,Modified residue,PTM/targeting,PTM,rule,
Modified residue_3'-chlorotyrosine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_3'-nitrotyrosine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_3-methylthioaspartic acid,Modified residue,PTM/targeting,PTM,rule,
Modified residue_4-aspartylphosphate,Modified residue,PTM/targeting,PTM,rule,
Modified residue_4-carboxyglutamate,Modified residue,PTM/targeting,PTM,rule,
Modified residue_4-hydroxyproline,Modified residue,PTM/targeting,PTM,rule,
Modified residue_5-hydroxylysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_ADP-ribosylarginine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_ADP-ribosylserine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Arginine amide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Asparagine amide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Asymmetric dimethylarginine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Citrulline,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Cysteine amide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Cysteine methyl ester,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Cysteine sulfenic acid (-SOH),Modified residue,PTM/targeting,PTM,rule,
Modified residue_Deamidated asparagine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Deamidated glutamine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Dimethylated arginine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Glycine amide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Hydroxyproline,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Isoleucine amide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Leucine amide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Lysine amide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Methionine (R)-sulfoxide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Methionine sulfoxide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N-acetylalanine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N-acetylglycine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N-acetylmethionine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N-acetylproline,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N-acetylserine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N-acetylthreonine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N-acetylvaline,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N5-methylglutamine,Modified residue,PTM/targeting,PTM,rule,
"Modified residue_N6,N6,N6-trimethyllysine",Modified residue,PTM/targeting,PTM,rule,
"Modified residue_N6,N6-dimethyllysine",Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-(2-hydroxyisobutyryl)lysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-(beta-hydroxybutyryl)lysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-(pyridoxal phosphate)lysine,Modified residue,PTM/targeting,PTM,inherited,
Modified residue_N6-(retinylidene)lysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-acetyllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-benzoyllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-butyryllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-carboxylysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-crotonyllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-glutaryllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-isonicotinyllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-lactoyllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-lipoyllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-malonyllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-methacryllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-methylated lysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-methyllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_N6-succinyllysine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_O-(pantetheine 4'-phosphoryl)serine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Omega-N-methylarginine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Phenylalanine amide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Phosphohistidine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Phosphoserine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Phosphothreonine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Phosphotyrosine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Proline amide,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Pyrrolidone carboxylic acid,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Pyruvic acid (Ser),Modified residue,PTM/targeting,PTM,rule,
Modified residue_S-(dipyrrolylmethanemethyl)cysteine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_S-nitrosocysteine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Sulfotyrosine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Symmetric dimethylarginine,Modified residue,PTM/targeting,PTM,rule,
Modified residue_Valine amide,Modified residue,PTM/targeting,PTM,rule,
Motif_Bipartite nuclear localization signal,Motif,PTM/targeting,targeting,hand,
Motif_Microbody targeting signal,Motif,PTM/targeting,targeting,hand,
Motif_Nuclear export signal,Motif,PTM/targeting,targeting,hand,
Motif_Nuclear localization signal,Motif,PTM/targeting,targeting,hand,
Motif_Prevents secretion from ER,Motif,PTM/targeting,targeting,hand,
Motif_RxLR-dEER,Motif,PTM/targeting,targeting,hand,
Signal peptide_Tat-type signal,Signal peptide,PTM/targeting,targeting,rule,
Signal peptide_any,Signal peptide,PTM/targeting,targeting,rule,
Transit peptide_Chloroplast,Transit peptide,PTM/targeting,targeting,rule,
Transit peptide_Mitochondrion,Transit peptide,PTM/targeting,targeting,rule,
Transit peptide_any,Transit peptide,PTM/targeting,targeting,inherited,
Domain_MPN,Domain,Peptidase,catalytic,hand,
Domain_Peptidase A1,Domain,Peptidase,catalytic,inherited,
Domain_Peptidase M12B,Domain,Peptidase,catalytic,inherited,
Domain_Peptidase S1,Domain,Peptidase,catalytic,inherited,
Domain_Peptidase S8,Domain,Peptidase,catalytic,hand,
Domain_Carrier,Domain,Redox/cofactor enzyme,binding,hand,
Domain_Cytochrome b5 heme-binding,Domain,Redox/cofactor enzyme,binding,hand,
Domain_FAD-binding FR-type,Domain,Redox/cofactor enzyme,binding,inherited,
Domain_Flavodoxin-like,Domain,Redox/cofactor enzyme,binding,hand,
Domain_Lipoyl-binding,Domain,Redox/cofactor enzyme,binding,hand,
Domain_Rieske,Domain,Redox/cofactor enzyme,binding,inherited,
Domain_FAD-binding PCMH-type,Domain,Redox/cofactor enzyme,catalytic,hand,
Domain_FMN hydroxy acid dehydrogenase,Domain,Redox/cofactor enzyme,catalytic,hand,
Domain_Fe2OG dioxygenase,Domain,Redox/cofactor enzyme,catalytic,hand,
Domain_Ferritin-like diiron,Domain,Redox/cofactor enzyme,catalytic,hand,"PRU00085: ferroxidase activity, EC 1.16.3.1"
Domain_KARI C-terminal knotted,Domain,Redox/cofactor enzyme,catalytic,inherited,
Domain_KARI N-terminal Rossmann,Domain,Redox/cofactor enzyme,catalytic,inherited,
Domain_MsrB,Domain,Redox/cofactor enzyme,catalytic,hand,
Domain_Radical SAM core,Domain,Redox/cofactor enzyme,catalytic,inherited,
Domain_Thioredoxin,Domain,Redox/cofactor enzyme,catalytic,inherited,
Motif_Histidine box-1,Motif,Redox/cofactor enzyme,catalytic,hand,
Motif_Histidine box-2,Motif,Redox/cofactor enzyme,catalytic,hand,
Motif_Histidine box-3,Motif,Redox/cofactor enzyme,catalytic,hand,
Region_Precorrin-2 dehydrogenase /sirohydrochlorin ferrochelatase,Region,Redox/cofactor enzyme,catalytic,inherited,
Beta strand,Beta strand,Structural,structural,rule,
Coiled coil,Coiled coil,Structural,structural,inherited,
Domain_ABC transmembrane type-1,Domain,Structural,structural,hand,"PRU00441: 4 to 7 transmembrane segments, no catalytic or nucleotide annotation"
Domain_CHCH,Domain,Structural,structural,hand,PRU01150: defined as a disulfide-stabilised fold; MIA40 import installs it but is not its job
Domain_Collagen-like,Domain,Structural,structural,inherited,
Domain_Expansin-like EG45,Domain,Structural,structural,hand,
Domain_IF rod,Domain,Structural,structural,inherited,
Domain_LCN-type CS-alpha/beta,Domain,Structural,structural,hand,
Domain_LRRCT,Domain,Structural,structural,hand,
Domain_t-SNARE coiled-coil homology,Domain,Structural,structural,hand,
Helix,Helix,Structural,structural,rule,
Motif_Cx2C motif 1,Motif,Structural,structural,hand,
Motif_Cx2C motif 2,Motif,Structural,structural,hand,
Motif_Cx9C motif 1,Motif,Structural,structural,hand,
Motif_Cx9C motif 2,Motif,Structural,structural,hand,
